Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money,Overall Rating,sentiment_score,sentiment_label,Sentiment Score,Sentiment,Review Length,Route Popularity,Airline Popularity,clean_review,Aircraft_Label
"""relatively comfortable elderly plane""",A319,Family Leisure,Economy Class,London to Lisbon,2025-01-01,3.0,4.0,2.0,2.0,4.0,4,3.1666666666666665,0.5106,Positive,0.5106,2,4,6,196,relatively comfortable elderly plane,10
"""70 days chasing BA’s complaints department""",A320,Solo Leisure,Economy Class,Manchester to Isle of Man,2024-11-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,-0.4019,Negative,-0.4019,0,6,1,662, days chasing bas complaints department,26
"""BA refused to reimburse me""",Boeing 777,Family Leisure,Premium Economy,Houston to cologne via London,2024-12-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.296,Negative,-0.296,0,5,1,452,ba refused to reimburse me,145
"""the flight was delayed""",A320,Business,Economy Class,London to Basel,2025-01-01,1.0,3.0,2.0,1.0,1.0,1,1.5,-0.2263,Negative,-0.2263,0,4,2,662,the flight was delayed,26
"""BA forced us to buy new tickets""",Boeing 747,Family Leisure,Economy Class,London to Phoenix,2023-11-01,2.0,2.0,2.0,2.0,1.0,1,1.6666666666666667,-0.4588,Negative,-0.4588,0,7,6,135,ba forced us to buy new tickets,117
“staff had no sympathy or empathy”,A380,Family Leisure,Economy Class,London to Johannesburg,2025-01-01,1.0,1.0,2.0,3.0,1.0,1,1.5,-0.2755,Negative,-0.2755,0,6,21,302,staff had no sympathy or empathy,81
"""the seat is outdated""",A380,Solo Leisure,Business Class,London to Cape Town via Johannesburg,2024-12-01,3.0,4.0,4.0,1.0,3.0,3,3.0,0.0,Neutral,0.0,1,4,1,302,the seat is outdated,81
"""a national disgrace""",Boeing 747-400,Family Leisure,Economy Class,Larnaca to Glasgow via Heathrow,2024-11-01,1.0,1.0,1.0,2.0,1.0,1,1.1666666666666667,-0.4939,Negative,-0.4939,0,3,1,275,a national disgrace,129
"""sheer neglect in keeping us informed""",A319,Couple Leisure,Economy Class,London to Rome,2024-12-01,2.0,4.0,2.7091954022988505,2.636533432947329,1.0,2,2.390954805874363,-0.4588,Negative,-0.4588,0,6,6,196,sheer neglect in keeping us informed,10
"""a huge disappointment""",Boeing 777 / A350,Business,Business Class,Washington to London,2024-12-01,4.0,3.0,1.0,5.0,1.0,1,2.5,-0.25,Negative,-0.25,0,3,10,1,a huge disappointment,151
"""we had to bus to the aircraft""",Boeing 777,Solo Leisure,Business Class,Cape Town to London,2024-12-01,5.0,5.0,5.0,5.0,4.0,5,4.833333333333333,0.0,Neutral,0.0,1,7,14,452,we had to bus to the aircraft,145
"“victims of their new supper service""",Boeing 787,Solo Leisure,First Class,Mexico City to London Heathrow,2024-11-01,5.0,5.0,3.0,3.0,4.0,4,4.0,0.0,Neutral,0.0,1,6,3,97,victims of their new supper service,172
“flight was cancelled last minute”,A320,Solo Leisure,Economy Class,London to Amsterdam,2024-12-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.25,Negative,-0.25,0,5,8,662,flight was cancelled last minute,26
“Nobody wants to take responsibility”,A320,Solo Leisure,Economy Class,Marrakesh to London,2024-08-01,2.0,2.0,1.0,1.0,1.0,1,1.3333333333333333,0.0,Neutral,0.0,1,5,1,662,nobody wants to take responsibility,26
"""Terrible customer service""",A350,Family Leisure,Economy Class,London Heathrow to Toronto,2024-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.4767,Negative,-0.4767,0,3,3,39,terrible customer service,79
“Is British Airways really this cheap”,Boeing 747,Solo Leisure,Economy Class,Milan Italy to London Heathrow,2024-11-01,2.0,1.0,1.0,1.4,3.0,1,1.5666666666666667,0.0,Neutral,0.0,1,6,1,135,is british airways really this cheap,117
"""I will never fly BA again""",A321 / Boeing 787-9,Family Leisure,Economy Class,Madrid to San Diego via London,2024-10-01,2.0,3.0,2.0,3.0,1.0,3,2.3333333333333335,0.0,Neutral,0.0,1,6,1,2,i will never fly ba again,63
"""I was pleasantly surprised""",A321,Family Leisure,Economy Class,London to Belfast,2024-11-01,3.0,2.0,2.7091954022988505,2.636533432947329,5.0,5,3.390954805874363,0.6124,Positive,0.6124,2,4,6,126,i was pleasantly surprised,59
"""flight attendants were outstanding""",A350,Couple Leisure,Business Class,Vancouver to London,2024-11-01,5.0,5.0,5.0,4.0,3.0,4,4.333333333333333,0.6124,Positive,0.6124,2,4,17,39,flight attendants were outstanding,79
"""Food and service was the worst""",A320neo,Solo Leisure,Economy Class,Malaga to London,2024-10-01,1.0,1.0,1.0,1.0,1.0,2,1.1666666666666667,-0.6249,Negative,-0.6249,0,6,4,9,food and service was the worst,58
“flying with BA was disappointing”,A350,Solo Leisure,Economy Class,Keflavik to Cape Town via London,2024-10-01,2.0,2.0,1.0,1.4,1.0,2,1.5666666666666667,0.0,Neutral,0.0,1,5,1,39,flying with ba was disappointing,79
"""won't be using her return ticket""",A380,Couple Leisure,Economy Class,Singapore to Keflavik via London,2024-10-01,2.0,2.0,1.0,2.0,1.0,3,1.8333333333333333,0.0,Neutral,0.0,1,6,1,302,wont be using her return ticket,81
"""the same as low cost carriers""",A320,Solo Leisure,Economy Class,Las Palmas to London Gatwick,2024-10-01,2.0,2.0,1.0,1.4,3.0,4,2.2333333333333334,-0.2732,Negative,-0.2732,0,6,1,662,the same as low cost carriers,26
“not refunding our money”,A319,Family Leisure,Economy Class,Gatwick to Florence,2024-08-01,1.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,0.0,Neutral,0.0,1,4,1,196,not refunding our money,10
“A very poor experience”,Boeing 777-200,Solo Leisure,Premium Economy,Mumbai to London,2024-11-01,2.0,2.0,2.7091954022988505,2.636533432947329,4.0,1,2.390954805874363,-0.5256,Negative,-0.5256,0,4,6,171,a very poor experience,157
"""food and beverages being targeted""",Boeing 777-300,Family Leisure,Business Class,Singapore to London,2024-11-01,5.0,4.0,3.0,4.0,5.0,3,4.0,0.0,Neutral,0.0,1,5,12,54,food and beverages being targeted,167
"""never fly with them again""",A320,Couple Leisure,Economy Class,Munich to London Heathrow,2024-10-01,2.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,2.05762147254103,0.0,Neutral,0.0,1,5,4,662,never fly with them again,26
"""still have not heard any updates""",A380,Couple Leisure,Premium Economy,Heathrow to Boston,2024-09-01,2.0,5.0,3.0,4.0,1.0,1,2.6666666666666665,0.0,Neutral,0.0,1,6,1,302,still have not heard any updates,81
"""cabin crew were nice""",A380-800,Family Leisure,Economy Class,Los Angeles to London Heathrow,2024-11-01,3.0,4.0,3.0,2.0,4.0,3,3.1666666666666665,0.4215,Positive,0.4215,2,4,8,12,cabin crew were nice,94
"""support staff wash their hands of you""",A380,Family Leisure,Premium Economy,Vancouver to London,2024-08-01,1.0,5.0,3.0,1.0,1.0,1,2.0,0.4019,Positive,0.4019,2,7,17,302,support staff wash their hands of you,81
"""no fuss, no bother experience""",A320,Solo Leisure,Economy Class,Vancouver to Gatwick,2024-09-01,4.0,5.0,5.0,5.0,5.0,4,4.666666666666667,0.2584,Positive,0.2584,2,5,1,662,no fuss no bother experience,26
"""Who can trust BA to travel2",A320,Solo Leisure,Economy Class,London to Istanbul,2024-10-01,3.0,3.0,1.0,1.0,1.0,1,1.6666666666666667,0.5106,Positive,0.5106,2,6,10,662,who can trust ba to travel,26
"""just another poor airline""",Boeing 777,Couple Leisure,Business Class,San Francisco to Barcelona via London,2024-10-01,3.0,2.0,1.0,3.0,3.0,2,2.3333333333333335,-0.4767,Negative,-0.4767,0,4,1,452,just another poor airline,145
"""spent two hours trying to make contact with BA""",Boeing 787-9,Business,Business Class,Mexico City to London Heathrow,2024-10-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,9,3,54,spent two hours trying to make contact with ba,184
"""using another airline for future travel""",Boeing 777,Solo Leisure,Business Class,Paris to Boston via London,2024-07-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,2,1.7242881392076965,0.0,Neutral,0.0,1,6,1,452,using another airline for future travel,145
"""oversold tickets on our flight""",A320,Family Leisure,Economy Class,Geneva to London,2024-09-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,0.0,Neutral,0.0,1,5,6,662,oversold tickets on our flight,26
“Appalling service”,A380,Business,Business Class,Johannesburg to London,2024-10-01,2.0,1.0,2.0,2.0,1.0,1,1.5,0.0,Neutral,0.0,1,2,17,302,appalling service,81
“BA’s petty penny pinching ”,Boeing 787-900,Business,Business Class,London to Mexico City,2024-10-01,1.0,5.0,1.0,1.0,2.0,3,2.1666666666666665,-0.2023,Negative,-0.2023,0,5,3,8,bas petty penny pinching ,190
“British arrogance with no manners”,A320N,Couple Leisure,Business Class,Berlin to London Heathrow,2024-10-01,1.0,1.0,1.0,1.4,2.0,1,1.2333333333333334,-0.6808,Negative,-0.6808,0,5,2,1,british arrogance with no manners,55
"""Terrible customer service""",A321,Couple Leisure,Business Class,London Heathrow to Philadelphia,2024-09-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,-0.4767,Negative,-0.4767,0,3,1,126,terrible customer service,59
“left much to be desired”,Boeing 787,Solo Leisure,Economy Class,Johannesburg to New York City via Heathrow,2024-10-01,5.0,4.0,3.0,2.0,3.0,2,3.1666666666666665,0.0,Neutral,0.0,1,5,1,97,left much to be desired,172
"""crew were all very friendly""",Boeing 777-336 ER,Solo Leisure,Premium Economy,New York JFK to London Heathrow,2024-10-01,5.0,5.0,3.0,5.0,5.0,4,4.5,0.5413,Positive,0.5413,2,5,4,1,crew were all very friendly,171
"""Simply not good enough""",A320,Solo Leisure,Business Class,Antalya to Gatwick,2024-10-01,1.0,2.0,4.0,2.6,2.0,2,2.2666666666666666,-0.3412,Negative,-0.3412,0,4,1,662,simply not good enough,26
“BA refuses to reimburse us”,A320,Couple Leisure,Economy Class,London to Lisbon,2024-09-01,3.0,2.0,1.0,1.0,1.0,2,1.6666666666666667,0.0,Neutral,0.0,1,5,6,662,ba refuses to reimburse us,26
"""my luggage is missing""",Embraer 190,Solo Leisure,Economy Class,Edinburgh to Delhi via London,2024-09-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,-0.296,Negative,-0.296,0,4,1,15,my luggage is missing,202
"""work is needed to provide a better customer experience""",A350,Solo Leisure,Premium Economy,London to Vancouver,2024-09-01,4.0,5.0,2.0,1.0,3.0,2,2.8333333333333335,0.4404,Positive,0.4404,2,9,11,39,work is needed to provide a better customer experience,79
"""barely a step above low cost airlines""",A320,Business,Economy Class,Gatwick to Amsterdam,2024-09-01,3.0,4.0,1.0,1.0,3.0,1,2.1666666666666665,-0.2732,Negative,-0.2732,0,7,2,662,barely a step above low cost airlines,26
"""Happy with the flight crew""",A320,Solo Leisure,Economy Class,Paris to San Diego via London,2024-09-01,5.0,5.0,5.0,3.4,5.0,5,4.733333333333333,0.5719,Positive,0.5719,2,5,1,662,happy with the flight crew,26
"""seats are super uncomfortable""",A321,Business,Business Class,Marrakech to Gatwick,2024-09-01,1.0,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,1.9310324894901825,0.3182,Positive,0.3182,2,4,1,126,seats are super uncomfortable,59
"""very disappointed""",Boeing 747,Family Leisure,Economy Class,Amsterdam to Pittsburgh via London,2024-09-01,2.0,2.0,2.0,2.0,1.0,1,1.6666666666666667,-0.5256,Negative,-0.5256,0,2,1,135,very disappointed,117
"""happily recommend and use BA""",A321,Couple Leisure,Economy Class,Heathrow to Berlin,2024-07-01,3.0,4.0,3.0,3.4,4.0,3,3.4,0.7269,Positive,0.7269,2,5,1,126,happily recommend and use ba,59
"""cannot get compensation for our flight""",Boeing 777,Couple Leisure,Economy Class,Manchester to Seattle via London,2024-05-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,2.2409770951351313,0.0,Neutral,0.0,1,6,2,452,cannot get compensation for our flight,145
“Crew very friendly and attentive”,Boeing 777-2OOLR,Couple Leisure,Business Class,London Heathrow to Nashville,2024-08-01,4.0,4.0,4.0,2.0,2.0,3,3.1666666666666665,0.5413,Positive,0.5413,2,5,1,1,crew very friendly and attentive,166
"""A nightmare journey""",A319 / A321NEO,Couple Leisure,Economy Class,London to Venice,2024-09-01,2.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,2.05762147254103,0.0,Neutral,0.0,1,3,4,1,a nightmare journey,12
“One gets better service in McDonalds”,Boeing 777-300ER,Business,First Class,London Heathrow to Chicago,2024-08-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.4404,Positive,0.4404,2,6,3,18,one gets better service in mcdonalds,169
"“shocking food, service, exorbitant prices”",Boeing 747-400,Couple Leisure,Business Class,London to Crete,2024-09-01,2.0,1.0,1.0,1.0,2.0,2,1.5,0.0,Neutral,0.0,1,5,1,275,shocking food service exorbitant prices,129
"""delayed with no explanation""",A319,Business,Business Class,Berlin to London,2024-08-01,3.0,1.0,3.0,3.4,1.0,1,2.066666666666667,-0.4767,Negative,-0.4767,0,4,7,196,delayed with no explanation,10
"""Sound food and drink offered""",Boeing 777-200,Family Leisure,Business Class,London to Toronto,2024-08-01,4.0,4.0,4.0,5.0,4.0,4,4.166666666666667,0.0,Neutral,0.0,1,5,10,171,sound food and drink offered,157
"“beyond appalled, hurt and frustrated”",Dreamliner,Solo Leisure,Economy Class,London to Denver,2024-08-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.7506,Negative,-0.7506,0,5,3,3,beyond appalled hurt and frustrated,193
"""experience was overall very poor""",A380,Family Leisure,Business Class,London to Hong Kong via Doha,2024-07-01,4.0,1.0,3.0,4.0,1.0,1,2.3333333333333335,-0.5256,Negative,-0.5256,0,5,1,302,experience was overall very poor,81
“the entire travel was cancelled”,A380,Business,Business Class,San Diego to Athens,2024-08-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,1,302,the entire travel was cancelled,81
“service offered was exceptional”,Boeing 787,Solo Leisure,First Class,Manchester to Newark via London,2024-08-01,5.0,5.0,4.0,4.0,4.0,5,4.5,0.0,Neutral,0.0,1,4,1,97,service offered was exceptional,172
"""No meal served""",A320,Solo Leisure,Economy Class,Gatwick to Dalaman,2024-08-01,4.0,2.0,1.0,1.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,3,2,662,no meal served,26
“no response to complaint”,A380,Family Leisure,Economy Class,London to Ibiza,2024-08-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,1,302,no response to complaint,81
“cabin crew are brilliant”,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Barcelona,2024-08-01,4.0,5.0,2.7091954022988505,2.636533432947329,4.0,4,3.724288139207696,0.0,Neutral,0.0,1,4,1,97,cabin crew are brilliant,172
"""may never see your refund""",A320,Solo Leisure,Economy Class,Anchorage to Johannesburg via Seattle / London,2024-01-01,3.0,5.0,4.0,4.0,5.0,1,3.6666666666666665,0.0,Neutral,0.0,1,5,1,662,may never see your refund,26
“failed to enjoy business class”,A380,Solo Leisure,Business Class,London to Boston,2024-08-01,2.0,5.0,3.0,3.4,4.0,2,3.233333333333333,0.4939,Positive,0.4939,2,5,10,302,failed to enjoy business class,81
"“somewhere below easyJet, above Ryanair”",A350-1000,Business,Economy Class,London Heathrow to Nairobi,2024-08-01,2.0,3.0,2.0,3.0,1.0,1,2.0,0.0,Neutral,0.0,1,5,3,10,somewhere below easyjet above ryanair,80
"""zero response from BA to reimburse us""",Boeing 747 / 777,Family Leisure,Economy Class,No Route,2024-07-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,7,6,9,zero response from ba to reimburse us,119
"""no acknowledgment or resolution""",A320,Solo Leisure,Economy Class,London to Basel,2024-06-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,2,662,no acknowledgment or resolution,26
"""Outstanding service""",A350,Solo Leisure,Business Class,Vancouver to London,2024-07-01,5.0,5.0,5.0,5.0,4.0,4,4.666666666666667,0.6124,Positive,0.6124,2,2,17,39,outstanding service,79
"""the crew were fabulous""",A320,Solo Leisure,Economy Class,London to Amman,2024-08-01,3.0,5.0,4.0,2.6,4.0,4,3.766666666666667,0.5267,Positive,0.5267,2,4,3,662,the crew were fabulous,26
“customer service has been horrible”,A380,Family Leisure,Economy Class,Barcelona to Dallas via Heathrow,2024-08-01,3.0,4.0,4.0,4.0,2.0,3,3.3333333333333335,0.0,Neutral,0.0,1,5,1,302,customer service has been horrible,81
"""Not as much as an apology""",A380,Family Leisure,Economy Class,London to Hong Kong,2024-08-01,1.0,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,1.9310324894901825,0.0516,Positive,0.0516,2,6,15,302,not as much as an apology,81
"""no one attending or caring""",A380,Couple Leisure,Economy Class,Dallas to London,2024-05-01,2.0,2.0,2.0,2.0,2.0,2,2.0,0.4939,Positive,0.4939,2,5,2,302,no one attending or caring,81
“disappointed in British Airways”,Boeing 777,Family Leisure,Economy Class,London to Tampa,2024-08-01,1.0,1.0,1.0,4.0,3.0,1,1.8333333333333333,0.0,Neutral,0.0,1,4,6,452,disappointed in british airways,145
"""easy and enjoyable flight""",Embraer 190,Couple Leisure,Economy Class,Dublin to London City,2024-07-01,4.0,4.0,3.0,3.4,4.0,4,3.733333333333333,0.7003,Positive,0.7003,2,4,4,15,easy and enjoyable flight,202
"""Crew were amazing and attentive""",A320,Solo Leisure,Business Class,Riga to London,2024-08-01,4.0,5.0,5.0,3.4,4.0,5,4.3999999999999995,0.5859,Positive,0.5859,2,5,1,662,crew were amazing and attentive,26
"""missed my connecting flight""",Boeing 767,Solo Leisure,Economy Class,Rome to Philadelphia via London,2024-08-01,3.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,2.2242881392076965,-0.296,Negative,-0.296,0,4,1,68,missed my connecting flight,140
“time to change leadership team”,A320NEO,Business,Economy Class,London to Bologna,2024-08-01,3.0,1.0,1.0,1.4,1.0,1,1.4000000000000001,0.0,Neutral,0.0,1,5,4,3,time to change leadership team,56
"""avoid it at all cost!""",A380,Business,Business Class,Sydney to London,2024-08-01,1.0,3.0,3.0,2.0,1.0,1,1.8333333333333333,-0.3595,Negative,-0.3595,0,5,1,302,avoid it at all cost,81
“Great customer service from BA”,A320,Solo Leisure,Business Class,Dublin to London Heathrow,2024-08-01,3.0,5.0,4.0,2.6,5.0,4,3.9333333333333336,0.0,Neutral,0.0,1,5,3,662,great customer service from ba,26
"""Absolute worst travel experience""",A320,Couple Leisure,Economy Class,London to Los Angeles via Paris CDG,2024-07-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.6249,Negative,-0.6249,0,4,1,662,absolute worst travel experience,26
"""one of the worst airlines""",Boeing 777,Business,Business Class,London Heathrow to Doha,2024-07-01,5.0,1.0,3.0,3.0,1.0,1,2.3333333333333335,-0.6249,Negative,-0.6249,0,5,2,452,one of the worst airlines,145
"""my travel pram confiscated from me""",A321 neo,Family Leisure,Economy Class,Toulouse to London Heathrow,2024-07-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,0.0,Neutral,0.0,1,6,2,11,my travel pram confiscated from me,66
“VERY uncomfortable seats”,Boeing 777,Couple Leisure,Economy Class,San Diego to London,2024-07-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.3818,Negative,-0.3818,0,3,5,452,very uncomfortable seats,145
"""substandard business class experience""",A380-800,Family Leisure,Business Class,Singapore to London,2024-07-01,3.0,2.0,3.0,3.0,5.0,2,3.0,0.0,Neutral,0.0,1,4,12,12,substandard business class experience,94
"""Customer Service is shocking""",A320,Solo Leisure,Economy Class,Glasgow to Munich via Heathrow,2024-06-01,3.0,4.0,4.0,3.0,2.0,3,3.1666666666666665,-0.4019,Negative,-0.4019,0,4,1,662,customer service is shocking,26
"""left me extremely disappointed""",A319,Business,Economy Class,Berlin to São Paulo via London,2024-03-01,3.0,4.0,3.0,3.0,1.0,2,2.6666666666666665,-0.5256,Negative,-0.5256,0,4,1,196,left me extremely disappointed,10
“customer service was awful”,A320,Couple Leisure,Economy Class,London to Corfu,2023-09-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,2,662,customer service was awful,26
"""over 2 weeks to respond""",Boeing 777,Solo Leisure,Economy Class,Toronto to London,2024-07-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,5,10,452,over  weeks to respond,145
“wholly inadequate customer service”,A320,Couple Leisure,Economy Class,London Gatwick to Verona,2024-06-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.4019,Negative,-0.4019,0,4,2,662,wholly inadequate customer service,26
“the cabin crew were great”,A320,Business,Business Class,London Heathrow to Paris CDG,2024-06-01,4.0,5.0,3.0,3.4,1.0,3,3.233333333333333,0.0,Neutral,0.0,1,5,3,662,the cabin crew were great,26
"""cannot recommend BA""",A350-1000,Solo Leisure,Economy Class,London Heathrow to Vancouver,2024-06-01,2.0,2.0,1.0,2.0,2.0,1,1.6666666666666667,-0.2755,Negative,-0.2755,0,3,4,10,cannot recommend ba,80
“a very poor last impression of BA”,A350-1000,Solo Leisure,Business Class,Vancouver to London Heathrow,2024-06-01,3.0,3.0,3.0,3.0,1.0,2,2.5,-0.3025,Negative,-0.3025,0,7,6,10,a very poor last impression of ba,80
"""happy to recommend BA""",A320/A380,Couple Leisure,Business Class,Belfast to San Francisco via London,2024-04-01,5.0,5.0,3.0,3.0,5.0,4,4.166666666666667,0.7351,Positive,0.7351,2,4,2,1,happy to recommend ba,52
"""cancelled our return flight""",A320,Couple Leisure,Economy Class,London Heathrow to Keflavik,2024-06-01,2.0,3.0,1.0,1.4,3.0,2,2.066666666666667,-0.25,Negative,-0.25,0,4,2,662,cancelled our return flight,26
"""Very good experience all round""",Boeing 777,Solo Leisure,Business Class,New York JFK to London Heathrow,2024-06-01,5.0,5.0,4.0,3.0,1.0,2,3.3333333333333335,0.4927,Positive,0.4927,2,5,4,452,very good experience all round,145
"""inflight service was efficient and friendly""",Boeing 777,Solo Leisure,Premium Economy,London to newark,2024-06-01,4.0,4.0,4.0,3.0,4.0,3,3.6666666666666665,0.7184,Positive,0.7184,2,6,1,452,inflight service was efficient and friendly,145
“worst airline I’ve ever flown”,Embraer,Couple Leisure,Economy Class,Florence to Heathrow,2024-06-01,1.0,3.0,2.0,2.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,5,1,18,worst airline ive ever flown,200
"""Cabin crew were great""",A320,Couple Leisure,Business Class,London to Manchester,2024-06-01,1.0,5.0,5.0,3.4,2.0,4,3.4,0.6249,Positive,0.6249,2,4,4,662,cabin crew were great,26
"""flight itself was quite good""",A320,Solo Leisure,Business Class,London to Amsterdam,2024-05-01,5.0,5.0,5.0,3.4,4.0,5,4.566666666666666,0.4927,Positive,0.4927,2,5,8,662,flight itself was quite good,26
"""You expect better from BA""",Boeing 787-9,Couple Leisure,Premium Economy,Tokyo to Manchester via London,2024-05-01,1.0,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,2,2.097699156156849,0.4404,Positive,0.4404,2,5,1,54,you expect better from ba,184
"“never fly British Airways""",Boeing 747,Business,Business Class,Heathrow to San Francisco,2024-06-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,3,135,never fly british airways,117
“we will rethink BA moving forward”,Boeing 777,Couple Leisure,Business Class,Tampa to Gatwick,2024-05-01,4.0,3.0,2.0,4.0,1.0,2,2.6666666666666665,0.0,Neutral,0.0,1,6,5,452,we will rethink ba moving forward,145
“extremely poor customer service”,A380,Family Leisure,Premium Economy,Los Angeles to London,2024-01-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.4767,Negative,-0.4767,0,4,12,302,extremely poor customer service,81
“a pleasant and civilized journey”,A320,Solo Leisure,Economy Class,Hannover to London Heathrow,2024-05-01,5.0,4.0,1.0,1.4,5.0,3,3.233333333333333,0.5106,Positive,0.5106,2,5,1,662,a pleasant and civilized journey,26
"""the worst BA flight we've experienced""",A350,Family Leisure,Economy Class,Austin to London Heathrow,2024-05-01,2.0,3.0,3.0,5.0,3.0,3,3.1666666666666665,-0.6249,Negative,-0.6249,0,6,2,39,the worst ba flight weve experienced,79
"""Never again British Airways""",A320,Business,Business Class,Vienna to Johannesburg via London,2023-10-01,1.0,2.0,1.0,1.0,1.0,3,1.5,0.0,Neutral,0.0,1,4,1,662,never again british airways,26
"""only been offered half a glass of water""",A380,Couple Leisure,Economy Class,Johannesburg to Heathrow,2024-05-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,8,2,302,only been offered half a glass of water,81
